id1	id2	promoterdis	length1	length2	overlap	overlapc	sin1	sin2	sin3	snuc
AT3G58520	AT3G58530	1	1779	2822	1	A	1	0	1	1
AT5G40090	AT5G40100	6	1815	3846	6	A	0	0	1	1
AT1G07950	AT1G07960	8	1341	1933	8	A	1	1	1	1
AT1G06660	AT1G06670	9	3109	7246	9	A	0	1	1	1
AT4G31150	AT4G31160	12	2048	7485	12	A	1	1	1	1
AT2G37680	AT2G37690	14	2373	4894	14	A	1	1	1	1
AT1G80950	AT1G80960	16	2991	3925	16	A	1	0	1	1
AT4G38150	AT4G38160	16	1713	2065	16	A	0	0	1	1
AT4G21860	AT4G21865	18	2080	1578	18	A	0	0	1	1
AT3G21280	AT3G21290	19	4196	6830	19	A	1	1	1	1
AT3G24495	AT3G24500	21	5946	1417	21	A	1	0	1	1
AT1G28530	AT1G28540	21	3654	1787	21	A	1	1	1	1
AT3G10850	AT3G10860	23	1995	1377	23	A	1	1	1	1
AT1G75690	AT1G75700	25	1791	1618	25	A	0	0	1	1
AT1G74390	AT1G74400	28	2418	1465	28	A	1	0	1	1
AT5G14900	AT5G14910	28	906	2100	28	A	1	0	0	0
AT3G09660	AT3G09670	30	4999	2858	30	A	1	0	1	1
AT3G45880	AT3G45890	31	2696	2790	31	A	0	0	1	1
AT5G10050	AT5G10030	42	1503	6981	42	A	1	1	1	1
AT5G27550	AT5G27560	46	4105	2962	46	A	0	0	1	1
AT4G12010	AT4G12020	49	4581	8171	49	A	1	0	1	1
AT5G06260	AT5G06265	51	2489	3127	51	A	1	1	1	1
AT2G42120	AT2G42130	52	3105	1873	52	A	1	1	1	1
AT1G68862	AT1G68870	53	2455	661	53	A	1	0	0	0
AT4G32680	AT4G32690	57	1812	1995	57	A	1	1	1	1
AT3G11620	AT3G11630	64	2889	1927	64	A	1	1	1	1
AT3G07525	AT3G07530	69	1653	3966	69	A	0	0	1	1
AT5G46085	AT5G46090	82	252	645	82	A	0	0	1	1
AT3G13674	AT3G13677	92	1360	1206	92	A	1	1	1	1
AT3G23860	AT3G23870	93	2482	2758	93	A	0	0	1	1
AT2G40770	AT2G40780	101	8338	1440	101	A	1	1	1	1
AT4G19095	AT4G19100	106	633	1037	106	A	0	0	0	1
AT5G27440	AT5G27450	113	1044	2862	113	A	0	0	1	1
AT5G55810	AT5G55820	118	2434	7849	118	A	1	1	1	1
AT1G61440	AT1G61450	119	3978	1118	119	A	0	1	1	1
AT3G22560	AT3G22565	133	928	1922	133	A	0	0	1	1
AT4G20290	AT4G20300	145	426	3722	145	A	1	0	1	0
AT2G07692	AT2G07693	152	839	1421	152	A	1	0	0	0
AT2G31141	AT2G31150	159	809	2204	159	A	1	1	1	0
AT5G51110	AT5G51120	161	1988	2136	161	A	0	0	1	1
AT5G13840	AT5G13850	162	2959	1513	162	A	1	1	1	1
AT2G23118	AT2G23120	183	144	793	143	B	0	0	1	0
AT2G19670	AT2G19680	228	2040	2010	228	A	1	1	1	1
AT4G30097	AT4G30100	229	144	6625	143	B	1	0	0	0
AT5G45010	AT5G45020	236	1486	2629	236	A	1	1	1	1
AT5G15740	AT5G15745	251	3168	303	251	A	0	0	1	0
AT1G48160	AT1G48170	261	2527	1484	261	A	1	1	1	1
AT3G09540	AT3G09550	261	2611	3265	261	A	0	0	1	1
AT5G63470	AT5G63480	267	1286	1803	267	A	1	1	1	1
AT5G41850	AT5G41860	269	1523	768	269	A	0	0	1	1
AT4G36160	AT4G36170	269	3497	5963	269	A	0	1	0	0
AT3G04710	AT3G04690	277	4503	3889	277	A	1	0	1	0
AT3G04690	AT3G04700	277	3889	1157	277	A	1	0	0	0
AT2G29590	AT2G29600	282	975	2146	282	A	1	0	1	0
