id1	id2	promoterdis	length1	length2	overlap	goverlap	sin1	sin2	sin3	snuc	sex	asex
AT1G27920	AT1G27921	3769	3194	3818	3193	B	1	1	1	1	0.00850655515139967	1.42454745781153
AT1G33420	AT1G33415	4586	2691	7662	2690	B	1	1	1	1	0.0668841699682373	0.769347748575435
AT2G26360	AT2G26355	2692	1885	828	19	D	1	0	1	1	0.276958746082538	0.717012364461855
AT5G10970	AT5G10965	2821	819	4598	818	B	0	0	1	1	0.00267145391207711	0.704336391082209
AT1G56610	AT1G56612	3688	2844	1783	937	C	1	1	1	1	0.174323774668102	0.630092424174915
AT1G75300	AT1G75295	1735	1556	2417	1555	B	1	1	1	1	0.00917356289257115	0.62470338395239
AT1G75290	AT1G75295	3514	1452	2417	353	C	1	1	1	1	0.0364932049844214	0.62470338395239
AT5G64000	AT5G09175	2201	2007	2435	2006	B	0	0	1	1	0.0293882541026003	0.582703784932181
AT5G18240	AT5G18245	2777	2368	5323	2367	B	0	1	1	1	0.00378386071053414	0.573409757221251
AT3G05930	AT3G05932	3124	1073	3223	1072	B	1	1	1	1	0	0.523847370313518
AT5G18260	AT5G18255	2494	1905	2033	1442	D	1	1	1	1	0.0997607806548632	0.490663520075032
AT1G03410	AT1G04183	2006	3248	2007	2006	A	0	0	1	1	0.0972277809897934	0.466275242235548
AT3G48120	AT3G48115	826	2642	1757	826	D	0	1	1	1	0.410514012036154	0.454951506844126
AT5G66560	AT5G66558	2605	2520	2884	2519	B	1	1	1	1	0.197048334388759	0.428389898955948
AT5G48770	AT5G48775	4398	4126	4388	4114	D	0	0	1	1	0.00785487769219482	0.419644460518289
AT5G45470	AT5G45472	3493	3058	9515	3057	B	1	1	1	1	0.144641326604437	0.371217272440737
AT5G45480	AT5G45472	7530	2981	9515	2980	B	1	1	1	1	0.144129917584265	0.371217272440737
AT1G67790	AT1G67792	2721	2558	2875	2557	B	1	1	1	1	0	0.341055059846625
AT1G72860	AT1G72855	4832	4719	3009	2894	D	1	1	1	1	0.00696315793138504	0.338783579872714
AT1G64580	AT1G64572	2751	1973	785	5	D	1	1	1	1	0.0339314479848267	0.331074111962334
AT1G44120	AT1G44125	6769	7565	6588	6587	A	1	0	1	1	0.00302839239001333	0.328484699747693
AT2G42370	AT2G42365	2664	2200	5378	2199	B	0	0	1	1	0.0624912277775846	0.304520395142246
AT2G42360	AT2G42365	5452	1245	5378	1169	C	0	0	1	1	0	0.304520395142246
AT2G31900	AT2G08485	687	10100	340	339	A	0	0	1	1	0.128757543538218	0.288735666535428
AT4G16670	AT4G06410	2152	2636	1092	1091	A	0	0	1	1	0.116652047097814	0.282241964421876
AT1G51402	AT1G07743	1538	1343	1013	816	C	0	0	1	1	0.0177348718687055	0.274527747036483
AT2G46570	AT2G46572	2833	2798	2972	2797	B	1	1	1	1	0	0.263773046610258
AT2G33050	AT2G33051	3413	2509	3587	2508	B	0	1	1	1	0.00890375221926024	0.254839808899306
AT2G31750	AT2G31751	5000	2954	5136	2953	B	1	1	1	1	0.23863102628593	0.253748070658621
AT5G38210	AT5G38212	4869	4881	4956	4869	D	0	0	1	1	0.345819411189523	0.233731375853347
AT2G45243	AT2G45245	598	601	2060	598	D	0	0	0	1	0	0.229704187851802
AT1G68290	AT1G08973	1764	1768	1882	1764	D	0	0	1	1	0.00302858132770583	0.22096237687284
AT4G39840	AT4G39838	1969	2049	2077	1969	D	1	1	1	1	0.390914453182574	0.218989881533212
AT1G78270	AT1G78265	1866	1855	1865	1852	D	1	1	1	1	0.0227105759494014	0.197903959408923
AT5G58540	AT5G08835	425	2182	487	425	D	0	0	1	1	0.0687799557059901	0.194402117760085
AT4G13920	AT4G13918	3373	2757	3590	2756	B	1	0	1	1	0.0226887312672702	0.191660460968969
AT1G28815	AT1G28715	7254	701	7116	561	C	0	0	1	1	0.00741132777181623	0.187018925869757
AT3G52070	AT3G52072	1967	749	2624	748	B	0	0	1	1	0.0385325272328636	0.182582663726461
AT3G63440	AT3G63445	2233	2380	3801	2233	D	0	1	1	1	0.0139458343792709	0.17981927726745
AT1G17230	AT1G17232	4516	4526	4517	4516	A	0	0	1	1	0.0187417077736604	0.176904990145943
AT4G37430	AT4G37432	1819	1849	1957	1819	D	1	1	1	1	0.0734832251367359	0.175783842104026
AT1G07725	AT1G07728	2287	2472	2415	2287	C	1	1	1	1	0	0.175414139094358
AT1G18420	AT1G18415	2457	2360	2848	2359	B	1	1	1	1	0.00789022673245563	0.170654089171095
AT1G05230	AT1G04353	6282	6005	1945	1666	D	0	0	1	1	0.00757540968051426	0.170414783728765
AT1G26220	AT1G26208	358	753	5514	358	D	0	0	1	1	0	0.165414129872931
AT1G26210	AT1G26208	4429	1169	5514	1168	B	1	0	1	1	0	0.165414129872931
AT3G56410	AT3G56408	5866	5167	6031	5166	B	1	1	1	1	0.402534943640638	0.163014243600974
AT1G69588	AT1G69587	1347	884	3824	883	B	1	1	1	1	0.00828126488039783	0.161389437636642
AT5G41610	AT5G41612	3581	3632	2956	2955	A	1	1	1	1	0.0231821701293101	0.151231170402448
AT2G21185	AT2G21187	632	452	1206	451	B	0	1	1	1	0.00859321359549509	0.148245954049363
AT3G41762	AT3G06325	307	1419	308	307	A	0	0	1	1	0	0.145353757487355
AT1G79720	AT1G09913	664	1889	434	433	A	0	0	1	1	0	0.141470735463662
AT4G26790	AT4G26795	2180	1920	2429	1919	B	0	0	1	1	0.0187459619519678	0.13380583364437
AT1G71530	AT1G71528	3385	3386	3453	3385	B	1	1	1	1	0.0905007352459202	0.125698986016878
AT2G44260	AT2G44255	1875	1884	2103	1875	D	1	0	1	1	0.019414578846566	0.116081909978055
AT1G79510	AT1G09863	3291	1976	2745	1428	D	0	0	1	1	0.0148903918257705	0.111498874961801
AT2G05810	AT2G05812	2825	3200	3115	2825	C	0	1	1	1	0.0838996560114104	0.108371495918005
AT2G20500	AT2G07305	941	925	967	924	B	0	0	1	1	0.0170802755247358	0.105765322988374
AT2G20510	AT2G07305	3607	2693	967	51	D	0	0	1	1	0	0.105765322988374
AT1G06000	AT1G06002	1620	1568	1634	1567	B	1	1	1	1	0.24271799269735	0.104981712286569
AT4G27860	AT4G27852	116	2735	1885	116	D	0	0	1	1	1.46802735277516	0.103565784555033
AT4G27850	AT4G27852	3531	3134	1885	1486	C	0	1	1	1	0	0.103565784555033
AT4G38540	AT4G38545	2128	1781	2367	1780	B	1	0	1	1	0.373692110659042	0.103328050482814
AT4G38530	AT4G38545	4731	2419	2367	53	C	0	0	0	1	0.00377028412861193	0.103328050482814
AT2G30360	AT2G30362	1822	1867	2735	1822	C	1	1	1	1	0.696076474748844	0.102458159194787
AT2G45310	AT2G45315	1991	1962	1984	1953	C	1	1	1	1	0.042535296982612	0.102220940422417
AT3G24020	AT3G04615	797	942	832	797	D	0	0	1	1	0.0958588654855659	0.101838551783136
AT3G24520	AT3G24518	1807	1809	4614	1807	D	1	1	1	1	0.32836640966279	0.0998050009156052
AT3G41762	AT3G41761	948	1419	162	161	A	1	0	1	1	0	0.0953178750376948
AT4G36030	AT4G36032	2357	2441	2389	2357	C	1	1	1	1	0.0312674879704171	0.0911633076102634
AT2G24540	AT2G24545	1313	1246	2356	1245	B	1	1	1	1	0.0809123696519417	0.0879192445620693
AT2G24535	AT2G24545	2973	1077	2356	458	C	0	0	1	1	0.0379355954358391	0.0879192445620693
AT1G17250	AT1G17255	3467	2271	3802	2270	B	0	0	1	1	0	0.0873258490594515
AT5G66280	AT5G09595	1379	1354	1637	1353	B	0	0	1	1	0.093545461721173	0.0860832131488264
AT5G54570	AT5G54569	2962	2600	3338	2599	B	0	1	1	1	0	0.0846333724386455
AT3G01930	AT3G01065	1023	2630	507	506	A	0	0	1	1	0.280033683561367	0.0837165003253858
AT2G39930	AT2G09090	6420	6471	1249	1248	A	0	0	1	1	0.395963106720311	0.0805894213326439
AT4G38550	AT4G38552	3107	3118	3178	3107	D	1	0	1	1	0.217096323548209	0.079097249653302
AT5G59730	AT5G59732	2215	2211	2254	2210	B	1	1	1	1	0.143198229706022	0.0749885497958976
AT1G04290	AT1G04295	752	1237	655	654	A	0	1	1	1	0.12312845419341	0.0749222795212543
AT4G26090	AT4G26095	3284	3535	3419	3284	D	1	1	1	1	0.0542464044851042	0.0742236798266127
AT4G23890	AT4G07190	603	877	760	603	C	0	0	1	1	0.0287643794143449	0.0733733796064419
AT5G20940	AT5G03255	2803	2908	2936	2803	C	0	0	1	1	0	0.0727566635744211
AT2G13660	AT2G13665	926	920	917	909	D	1	1	1	1	0.0243085077332237	0.0716797296191016
AT1G07130	AT1G07128	958	958	1169	957	B	1	1	1	1	0.0910487865239322	0.0684364357032272
AT5G41320	AT5G06155	1350	2059	1051	1050	A	0	0	1	1	0	0.0646834714325448
AT3G52540	AT3G52535	2764	1348	1423	5	D	0	0	1	1	0	0.063802887362932
AT1G76880	AT1G76878	2944	2912	2954	2911	B	1	1	1	1	1.80012821497739	0.0628022192518679
AT5G15850	AT5G15845	4816	1807	5211	1806	B	0	0	1	1	0	0.0621759394387085
AT5G07150	AT5G07152	2544	2545	2593	2544	B	1	1	1	1	0.11198966350423	0.0604690518316896
AT1G72850	AT1G72852	2169	1603	1756	1188	C	1	1	1	1	0.0327455040497533	0.0596649621826263
AT1G51640	AT1G51645	2834	2528	2835	2527	B	0	1	1	1	0.0102799962580814	0.059131600496752
AT3G62090	AT3G09745	2082	2163	2341	2082	C	0	0	1	1	0.438125666322123	0.0576936444794914
AT1G67370	AT1G67365	5442	4721	936	213	D	1	0	1	1	0.0087659013450399	0.0576371667229509
AT1G48700	AT1G48698	2760	2223	2392	1853	D	0	0	1	1	0	0.0575479262287175
AT5G05430	AT5G05435	335	1438	1362	335	C	0	0	0	1	0	0.055897864570326
AT1G01750	AT1G04053	1131	1123	847	837	C	0	0	1	1	0.30078438645845	0.0558822774987983
AT1G16490	AT1G16489	1905	1434	1949	1433	B	1	1	1	1	0.0310204361759586	0.0557361050333517
AT4G31400	AT4G31398	2283	2133	921	769	C	0	0	1	1	0.0319598851429774	0.0556429497280733
AT1G15000	AT1G15002	1959	1454	2056	1453	B	0	0	1	1	0.0240587661715677	0.0538324641944673
AT3G46660	AT3G46658	2328	1904	2511	1903	B	1	1	1	1	0	0.0534318649963389
AT1G80320	AT1G80325	1289	1115	3467	1114	B	1	0	1	1	0.0330274986954138	0.0528027018426444
AT1G80310	AT1G80325	3186	1669	3467	1668	B	1	0	1	1	0.143950157986055	0.0528027018426444
AT5G01210	AT5G01215	1779	1780	1793	1779	B	1	0	1	1	0.205120980483469	0.0517361470059212
AT5G01180	AT5G01175	3728	2920	1007	197	D	1	0	1	1	0	0.0516851565275782
AT5G53050	AT5G53048	3632	3330	1990	1686	D	1	0	1	1	0.273316309542344	0.0486237042308481
AT3G22070	AT3G22072	751	781	852	751	C	1	1	1	1	0.0569998173805025	0.0484207508264718
AT4G40080	AT4G40085	1388	1404	1509	1388	D	0	0	1	1	0.541239197817412	0.0482498305324428
AT1G26220	AT1G26218	1163	753	1216	752	B	0	1	1	1	0	0.0478543487361647
AT1G08590	AT1G08592	3372	3743	3295	3294	A	0	1	1	1	0.053137411777212	0.0460960638643362
AT2G23670	AT2G23672	788	679	1014	678	B	0	0	1	1	0.0120529558668968	0.0441709287430395
AT4G30970	AT4G30975	163	5323	3652	163	C	0	0	1	1	0	0.041667452478037
AT1G53500	AT1G07893	2074	2814	1439	1438	A	0	0	1	1	0.544677467816816	0.0366265646864005
AT5G58570	AT5G08840	229	593	425	229	C	0	0	1	1	0	0.0351863311904305
AT5G09445	AT5G09443	817	922	1051	817	D	0	0	1	1	0.0218967514243475	0.0339470968442779
AT4G04220	AT4G04221	3327	2779	3328	2778	B	0	0	1	1	0.0114135238387424	0.033450516182303
AT4G38210	AT4G38215	1060	1218	1340	1060	C	1	1	1	1	0.0283909432890908	0.0325339768998607
AT2G01410	AT2G03975	1205	1296	1129	1128	A	0	0	1	1	0.110017765857463	0.0314032966992344
AT2G19570	AT2G19572	1338	1221	1572	1220	B	1	1	1	1	1.21803660851536	0.0312122613778089
AT1G23050	AT1G23052	828	825	828	823	C	0	1	1	1	0.0243997657622487	0.0308251110396697
AT4G40063	AT4G40065	515	249	1083	248	B	0	0	0	1	0	0.0304749830863844
AT1G48320	AT1G48315	1655	903	1901	902	B	0	1	1	1	0.397719226406607	0.0296238716585721
AT1G78130	AT1G09783	1535	1763	1582	1535	D	0	0	1	1	0.270817735095337	0.0285860696691696
AT1G02310	AT1G04103	1709	2699	2800	1709	C	0	0	1	1	0.097736697164779	0.0280996123538814
AT1G31490	AT1G31485	1550	2067	1332	1331	A	1	0	0	1	0	0.0276201241393803
AT3G45290	AT3G07105	3139	3973	294	293	A	0	0	1	1	0.0119152302856557	0.0275342166207899
AT5G60020	AT5G60022	2275	2487	3121	2275	D	0	0	1	1	0.0208405678189598	0.0271780198721805
AT4G28650	AT4G28652	2862	3580	2743	2742	A	1	1	1	1	0.152636637248837	0.0262156182167088
AT2G35940	AT2G35945	1788	3403	1246	1245	A	0	0	1	1	0.489163627621045	0.0256912667760739
AT1G12150	AT1G04933	2010	2122	1450	1449	A	0	0	1	1	0.0103808683854553	0.0241808563496344
AT5G01600	AT5G01595	2688	1696	2315	1321	D	1	1	1	1	0.643787278334897	0.0237802740480366
AT3G03700	AT3G03702	2452	2056	2582	2055	B	0	1	0	1	0.00403534783990705	0.0237460275382047
AT4G20360	AT4G20362	2332	2600	2335	2332	D	1	0	1	1	0.287041040848473	0.0234821909576358
AT4G20350	AT4G20362	4205	1911	2335	39	C	1	0	1	1	0.103836004093467	0.0234821909576358
AT5G02760	AT5G00875	131	1767	1270	131	D	0	0	1	1	0	0.0233098234808583
