id1	id2	promoterdis	length1	length2	overlap	goverlap	sin1	sin2	sin3	snuc
AT4G26510	AT4G26488	5	6676	1540	5	D	0	1	1	1
AT1G01720	AT1G04043	6	1455	344	6	D	0	0	1	0
AT3G55390	AT3G08480	19	1057	237	19	D	0	0	1	0
AT4G21065	AT4G06980	33	2018	568	33	D	0	0	1	1
AT2G47000	AT2G09775	50	5458	210	50	C	0	0	1	0
AT3G47540	AT3G07775	69	1667	616	69	D	0	0	1	0
AT5G13220	AT5G02045	70	2292	306	70	D	0	0	1	0
AT2G31960	AT2G08500	96	11369	347	96	D	0	0	1	0
AT1G72950	AT1G09357	107	1583	584	107	D	0	0	1	0
AT4G27860	AT4G27852	116	2735	1885	116	D	0	0	1	1
AT5G54490	AT5G08205	130	1021	214	130	D	0	0	1	0
AT5G02760	AT5G00875	131	1767	1270	131	D	0	0	1	1
AT5G23411	AT5G23410	141	147	1195	141	D	1	0	0	0
AT4G17840	AT4G06745	151	2206	388	151	C	0	0	1	0
AT4G10100	AT4G05760	153	781	200	153	D	0	0	1	0
AT5G40400	AT5G40395	156	2640	208	156	D	1	0	0	0
AT1G71830	AT1G71828	157	3960	515	157	D	0	1	0	0
AT4G30970	AT4G30975	163	5323	3652	163	C	0	0	1	1
AT1G65970	AT1G08803	177	896	201	177	C	0	0	1	0
AT3G47295	AT3G07705	205	414	265	205	D	0	0	1	0
AT3G06895	AT3G06900	214	163	168	115	C	1	0	0	0
AT5G58570	AT5G08840	229	593	425	229	C	0	0	1	1
AT2G01870	AT2G04145	230	936	280	230	C	0	0	1	1
AT3G09085	AT3G02095	232	608	241	232	D	0	0	1	0
AT3G10230	AT3G02305	237	1884	251	237	C	0	0	1	0
AT1G54690	AT1G07983	239	791	240	239	A	0	0	1	0
AT2G36650	AT2G08815	241	1433	353	241	D	0	0	1	0
AT3G45980	AT3G07315	247	671	249	247	C	0	0	1	0
AT3G27750	AT3G05285	278	1067	465	278	D	0	0	1	0
AT4G35540	AT4G09165	279	1764	345	279	D	0	0	1	0
AT5G20650	AT5G03185	280	624	266	265	A	0	0	1	1
AT1G71430	AT1G09247	281	713	310	281	D	0	0	1	1
AT3G15518	AT3G03125	288	556	595	288	D	0	0	1	1
AT2G22820	AT2G22821	293	351	829	293	C	0	0	1	0
AT1G17070	AT1G05287	301	2710	393	301	D	0	0	1	0
AT3G41762	AT3G06325	307	1419	308	307	A	0	0	1	1
AT1G35550	AT1G35545	326	631	2316	326	D	1	0	0	0
AT5G65580	AT5G65575	327	309	1369	308	B	1	0	0	0
AT5G05430	AT5G05435	335	1438	1362	335	C	0	0	0	1
AT1G48960	AT1G07513	337	1250	369	337	D	0	0	1	1
AT1G76750	AT1G09657	339	682	320	319	A	0	0	1	0
AT5G03190	AT5G00905	345	2009	201	200	A	0	0	0	1
AT3G14467	AT3G02945	346	387	346	345	A	0	0	0	1
AT3G13800	AT3G02785	357	3496	328	327	A	0	0	1	0
AT5G10695	AT5G01815	357	445	441	357	D	0	0	1	1
AT1G26220	AT1G26208	358	753	5514	358	D	0	0	1	1
AT5G09995	AT5G01645	358	1336	357	356	A	0	0	1	0
AT3G62590	AT3G09815	359	2689	360	359	A	0	0	1	0
AT5G47640	AT5G07015	362	1039	441	362	D	0	0	1	1
AT4G01700	AT4G03985	363	1198	271	270	A	0	0	1	0
AT2G47480	AT2G09905	365	792	335	334	A	0	0	1	1
AT2G18915	AT2G18917	369	2899	990	369	C	1	1	1	0
AT3G12650	AT3G02575	374	770	414	374	C	0	0	1	0
AT4G10270	AT4G05775	376	477	437	376	D	0	0	1	0
AT5G06190	AT5G01205	376	994	205	204	A	0	0	0	1
AT3G06780	AT3G01895	380	835	385	380	D	0	0	1	0
AT3G52105	AT3G08230	388	670	202	201	A	0	0	1	0
AT3G05010	AT3G01545	391	2191	435	391	D	0	0	1	1
AT5G05750	AT5G01095	403	1472	440	403	D	0	0	1	0
AT1G20470	AT1G05557	405	604	659	405	D	0	0	1	0
